name_ru	name_eng	date	vote
Железный человек 2 (2010)	Iron Man 2	05.05.2013, 17:17	8
Железный человек (2008)	Iron Man	05.05.2013, 03:10	8
Барбарелла (1968)	Barbarella	28.04.2013, 01:24	6
Обитель зла: Возмездие (2012)	Resident Evil: Retribution	27.04.2013, 20:34	3
Звездный Крейсер Галактика: Кровь и Хром (2012)	Battlestar Galactica: Blood & Chrome	10.04.2013, 21:11	7
Каприка (сериал, 2009 – 2010)	Caprica	10.04.2013, 21:09	7
Двойная страховка (1944)	Double Indemnity	04.04.2013, 22:24	7
Разгуливая мертвым (1936)	The Walking Dead	04.04.2013, 20:08	6
Где-то в ночи (1946)	Somewhere in the Night	04.04.2013, 20:07	8
Тень сомнения (1942)	Shadow of a Doubt	04.04.2013, 20:05	8
Метро (2012)	 	04.04.2013, 20:02	8
Муви 43 (2013)	Movie 43	02.03.2013, 12:26	8
Психоаналитик (2009)	Shrink	16.02.2013, 21:40	7
Красота по-американски (1999)	American Beauty	16.02.2013, 14:07	9
У моря (2004)	Beyond the Sea	15.02.2013, 02:26	9
Охотники на гангстеров (2013)	Gangster Squad	23.01.2013, 23:22	7
Третий лишний (2012)	Ted	16.11.2012, 02:09	7
Новый Человек-паук (2012)	The Amazing Spider-Man	16.11.2012, 02:07	7
Монстры на каникулах (2012)	Hotel Transylvania	16.11.2012, 02:06	8
Грязная кампания за честные выборы (2012)	The Campaign	16.11.2012, 02:05	6
Обитель зла 4: Жизнь после смерти 3D (2010)	Resident Evil: Afterlife	31.08.2012, 19:50	5
Над кольцом (1994)	Above the Rim	27.08.2012, 23:03	8
Очень плохая училка (2011)	Bad Teacher	26.08.2012, 18:20	6
Миссия «Серенити» (2005)	Serenity	23.08.2012, 21:30	9
Хижина в лесу (2011)	The Cabin in the Woods	22.08.2012, 22:08	9
Светлячок (сериал, 2002 – 2003)	Firefly	22.08.2012, 20:23	9
Хорошая жизнь (2007)	The Good Life	19.08.2012, 21:42	8
Зловещие мертвецы 3: Армия тьмы (1992)	Army of Darkness	16.08.2012, 20:46	9
Зловещие мертвецы 2 (1987)	Evil Dead II	16.08.2012, 16:45	9
Зловещие мертвецы (1981)	The Evil Dead	15.08.2012, 22:27	8
Безумные похороны (2004)	Eulogy	15.08.2012, 15:09	7
Гигантик (2008)	Gigantic	14.08.2012, 22:01	8
Репортаж со свадьбы (2011)	[Rec]³: Génesis	12.08.2012, 20:08	7
Храбрые перцем (2010)	Your Highness	12.08.2012, 18:46	6
Любовь и прочие неприятности (2006)	Failure to Launch	07.08.2012, 23:15	7
SuperПерцы (2007)	Superbad	07.08.2012, 23:14	6
Бунтующая юность (2009)	Youth in Revolt	06.08.2012, 21:37	8
Американский пирог: Все в сборе (2012)	American Reunion	01.08.2012, 20:55	8
Явление (2008)	The Happening	31.07.2012, 21:34	8
Поворот не туда 2: Тупик (2007)	Wrong Turn 2: Dead End	30.07.2012, 21:52	7
Крутой парень (2002)	The New Guy	29.07.2012, 22:48	7
Жизнь прекрасна (2011)	50/50	29.07.2012, 20:20	9
Больше чем секс (2010)	No Strings Attached	29.07.2012, 16:17	7
Темный рыцарь: Возрождение легенды (2012)	The Dark Knight Rises	26.07.2012, 22:26	10
Пять бутылок водки (2002)	 	22.07.2012, 14:21	10
Зеленый слоник (1999)	 	22.07.2012, 14:20	9
Мост в Терабитию (2006)	Bridge to Terabithia	21.07.2012, 16:35	8
Донни Дарко (2001)	Donnie Darko	19.07.2012, 21:08	7
Звездный крейсер Галактика (сериал, 2004 – 2009)	Battlestar Galactica	06.04.2012, 22:41	10
Всегда говори «ДА» (2008)	Yes Man	03.12.2011, 19:32	9
12 стульев (1971)	 	21.11.2011, 23:59	9
Красный штат (2011)	Red State	21.11.2011, 14:24	9
Цена страха (1956)	The Price of Fear	15.11.2011, 19:40	7
Бегущий по лезвию (1982)	Blade Runner	15.11.2011, 19:38	9
Святые из Бундока (1999)	The Boondock Saints	21.10.2011, 00:27	10
Три незнакомца (1946)	Three Strangers	18.10.2011, 23:56	9
Где живет опасность (1950)	Where Danger Lives	18.10.2011, 23:55	8
Скотт Пилигрим против всех (2010)	Scott Pilgrim vs. the World	15.10.2011, 00:24	10
Контроль (2007)	Control	15.10.2011, 00:24	10
Четырнадцать часов (1951)	Fourteen Hours	13.10.2011, 22:39	8
Мёртв по прибытии (1949)	D.O.A.	11.10.2011, 19:53	7
Мальтийский сокол (1941)	The Maltese Falcon	10.10.2011, 20:45	9
500 дней лета (2009)	(500) Days of Summer	10.10.2011, 14:48	10
Унесённые призраками (2001)	Sen to Chihiro no kamikakushi	04.10.2010, 00:23	8
Властелин колец: Братство кольца (2001)	The Lord of the Rings: The Fellowship of the Ring	04.10.2010, 00:22	7
Молчание ягнят (1990)	The Silence of the Lambs	04.10.2010, 00:22	9
Поймай меня, если сможешь (2002)	Catch Me If You Can	04.10.2010, 00:22	8
Человек дождя (1988)	Rain Man	04.10.2010, 00:21	9
Титаник (1997)	Titanic	04.10.2010, 00:21	10
Властелин колец: Возвращение Короля (2003)	The Lord of the Rings: The Return of the King	04.10.2010, 00:21	7
Терминатор 2: Судный день (1991)	Terminator 2: Judgment Day	04.10.2010, 00:20	9
Пианист (2002)	The Pianist	04.10.2010, 00:19	9
Гладиатор (2000)	Gladiator	04.10.2010, 00:19	9
Пролетая над гнездом кукушки (1975)	One Flew Over the Cuckoo's Nest	04.10.2010, 00:18	9
Карты, деньги, два ствола (1998)	Lock, Stock and Two Smoking Barrels	04.10.2010, 00:17	8
Назад в будущее (1985)	Back to the Future	04.10.2010, 00:16	10
Игры разума (2001)	A Beautiful Mind	04.10.2010, 00:16	7
Жизнь прекрасна (1997)	La vita è bella	04.10.2010, 00:15	10
Крестный отец (1972)	The Godfather	04.10.2010, 00:15	10
Бешеные псы (1991)	Reservoir Dogs	04.10.2010, 00:13	10
Бойцовский клуб (1999)	Fight Club	04.10.2010, 00:12	9
Достучаться до небес (1997)	Knockin' on Heaven's Door	04.10.2010, 00:11	9
Список Шиндлера (1993)	Schindler's List	04.10.2010, 00:10	10
Леон (1994)	Léon	04.10.2010, 00:09	10
Зеленая миля (1999)	The Green Mile	04.10.2010, 00:09	10
Форрест Гамп (1994)	Forrest Gump	04.10.2010, 00:08	10
Нечто (1982)	The Thing	04.10.2010, 00:07	9
Сердце, наполненное любовью (2005)	Kono mune ippai no ai wo	04.10.2010, 00:04	9
Бандаж (2010)	Bandeiji	04.10.2010, 00:04	9
Начало (2010)	Inception	04.10.2010, 00:03	9
Особое мнение (2002)	Minority Report	04.10.2010, 00:02	9
Телефонная будка (2002)	Phone Booth	04.10.2010, 00:01	9
Легенды ночных стражей (2010)	Legend of the Guardians: The Owls of Ga’Hoole	03.10.2010, 23:57	8
Детям до 16... (2010)	 	03.10.2010, 23:55	7
Зомби по имени Шон (2004)	Shaun of the Dead	03.10.2010, 14:04	10
Бэтмен: Начало (2005)	Batman Begins	03.10.2010, 14:03	9
Сумерки. Сага. Новолуние (2009)	The Twilight Saga: New Moon	03.10.2010, 14:01	6
Сумерки (2008)	Twilight	03.10.2010, 13:59	4
Большой куш (2000)	Snatch	03.10.2010, 13:57	9
Принц Персии: Пески времени (2010)	Prince of Persia: The Sands of Time	03.10.2010, 13:56	8
Постал (2007)	Postal	03.10.2010, 13:53	9
Пипец (2010)	Kick-Ass	03.10.2010, 13:48	9
Американская история X (1998)	American History X	03.10.2010, 13:43	8
Темный рыцарь (2008)	The Dark Knight	03.10.2010, 13:36	10
Тройной форсаж: Токийский дрифт (2006)	The Fast and the Furious: Tokyo Drift	27.03.2010, 15:14	8
Мобильный воин Гандам: Поколение (сериал, 2002 – 2003)	Kidô senshi Gundam Seed	27.03.2010, 14:59	9
Мобильный воин Гандам 00 (сериал, 2007 – 2009)	Kidô Senshi Gundam 00	27.03.2010, 14:58	9
Нана (2005)	Nana	27.03.2010, 14:57	9
Добро пожаловать в Zомбилэнд (2009)	Zombieland	27.03.2010, 14:52	8
Скала (1996)	The Rock	27.03.2010, 14:50	8
Аватар (2009)	Avatar	27.03.2010, 14:48	8
Кандагар (2009)	 	27.03.2010, 14:46	6
Враг мой (1985)	Enemy Mine	27.03.2010, 14:42	9
