name_ru	name_eng	date	vote
Суспирия (1977)	Suspiria	03.05.2020, 22:04	8
Паранойя (2007)	Disturbia	02.05.2020, 19:46	8
И повсюду тлеют пожары (мини-сериал, 2020)	Little Fires Everywhere	01.05.2020, 21:05	7
Нимфоманка: Часть 2 (2013)	Nymphomaniac: Vol. II	30.04.2020, 21:57	8
Нимфоманка: Часть 1 (2013)	Nymphomaniac: Vol. I	30.04.2020, 20:01	8
Безопасность не гарантируется (2012)	Safety Not Guaranteed	29.04.2020, 21:25	7
Фотоувеличение (1966)	Blowup	28.04.2020, 21:01	7
ДАУ. Наташа (2020)	DAU. Natasha	27.04.2020, 21:49	6
Очень странные дела (сериал, 2016 – ...)	Stranger Things	26.04.2020, 17:24	9
Годзилла 2: Король монстров (2019)	Godzilla: King of the Monsters	26.04.2020, 17:17	5
В поисках огня (2015)	Digging for Fire	25.04.2020, 22:46	7
Таксист (1976)	Taxi Driver	22.04.2020, 22:09	9
Вспоминая Титанов (2000)	Remember the Titans	21.04.2020, 23:28	8
Дружба и никакого секса? (2013)	The F Word	20.04.2020, 22:11	7
Терминатор (1984)	The Terminator	20.04.2020, 01:57	9
Безумный Пьеро (1965)	Pierrot le Fou	19.04.2020, 21:16	8
Июльский дождь (1966)	 	18.04.2020, 23:40	9
Никогда, редко, иногда, всегда (2020)	Never Rarely Sometimes Always	17.04.2020, 23:47	8
Ночь страха (2011)	Fright Night	16.04.2020, 21:38	7
Джей и Молчаливый Боб: Перезагрузка (2019)	Jay and Silent Bob Reboot	14.04.2020, 22:46	6
Нежная рука закона (2018)	En liberté!	13.04.2020, 23:02	7
Планета бурь (1961)	 	12.04.2020, 16:56	6
Adele: Hello (2015)	 	12.04.2020, 09:35	8
Честный человек (2018)	L'homme fidele	12.04.2020, 00:18	6
Долгое падение (2013)	A Long Way Down	11.04.2020, 16:49	7
Отель «Белград» (2020)	 	09.04.2020, 19:12	7
Никто не узнает (2004)	Dare mo shiranai	08.04.2020, 20:01	8
Комета (2014)	Comet	07.04.2020, 19:23	7
Иди и смотри (1985)	 	07.04.2020, 13:16	9
Заражение (2011)	Contagion	05.04.2020, 19:41	6
Ностальгия (1983)	Nostalghia	04.04.2020, 22:25	7
Царство красоты (2014)	Le règne de la beauté	03.04.2020, 23:56	5
Белоснежка. Сказка для взрослых (2019)	Blanche comme neige	03.04.2020, 22:26	3
Поцелуй меня (2011)	Kyss mig	02.04.2020, 23:10	6
Монти Пайтон и священный Грааль (1975)	Monty Python and the Holy Grail	02.04.2020, 15:26	10
На игле (1995)	Trainspotting	02.04.2020, 09:33	9
Реквием по мечте (2000)	Requiem for a Dream	02.04.2020, 09:28	8
Рэй (2004)	Ray	02.04.2020, 09:27	7
Экстаз (2018)	Climax	01.04.2020, 22:38	9
Плохие парни навсегда (2020)	Bad Boys for Life	01.04.2020, 18:01	7
Ночь живых мертвецов (1968)	Night of the Living Dead	31.03.2020, 20:12	7
Луна 2112 (2009)	Moon	30.03.2020, 22:38	7
Молодость (2015)	Youth	30.03.2020, 18:02	7
Джентльмены (2019)	The Gentlemen	29.03.2020, 20:50	8
Зеркало (1974)	 	27.03.2020, 23:34	9
Наркокурьер (2018)	The Mule	26.03.2020, 22:45	8
Про уродов и людей (1998)	 	24.03.2020, 23:20	6
Связь (сериал, 2018 – ...)	Bonding	23.03.2020, 23:46	7
Почему женщины убивают (сериал, 2019 – ...)	Why Women Kill	23.03.2020, 23:45	8
1+1 (2011)	Intouchables	23.03.2020, 21:23	8
Спрячь бабушку в холодильнике (2018)	Metti la nonna in freezer	19.03.2020, 21:00	7
Час волка (1968)	Vargtimmen	16.03.2020, 23:22	7
Седьмая печать (1957)	Det sjunde inseglet	16.03.2020, 00:13	8
Мальчик русский (2018)	 	13.03.2020, 09:30	6
Спи со мной (2005)	Lie with Me	11.03.2020, 22:38	7
Холли остается ночевать (2020)	Holly Slept Over	09.03.2020, 21:32	7
Ты (сериал, 2018 – ...)	You	07.03.2020, 23:59	8
Офицер и шпион (2019)	J'accuse	07.03.2020, 20:36	7
Трудности перевода (2003)	Lost in Translation	07.03.2020, 00:13	8
Просыпайся (2020)	Wake Up	04.03.2020, 16:47	6
Старикам тут не место (2007)	No Country for Old Men	04.03.2020, 09:19	7
Гран Торино (2008)	Gran Torino	02.03.2020, 23:46	8
Таинственная река (2003)	Mystic River	02.03.2020, 00:13	9
Человек, который изменил всё (2011)	Moneyball	01.03.2020, 01:03	8
Искупление (2007)	Atonement	29.02.2020, 00:28	7
Пушки Акимбо (2019)	Guns Akimbo	27.02.2020, 23:55	6
Курск (2018)	Kursk	25.02.2020, 23:31	7
Париж – это мы (2019)	Paris est à nous	24.02.2020, 23:46	7
Магазин единорогов (2017)	Unicorn Store	21.02.2020, 00:32	6
Американский пирог 2 (2001)	American Pie 2	16.02.2020, 11:33	8
Американский пирог (1999)	American Pie	16.02.2020, 01:31	8
Гравитация (2013)	Gravity	15.02.2020, 19:25	8
Куда приводят мечты (1998)	What Dreams May Come	14.02.2020, 23:52	7
Наездница (2020)	Horse Girl	14.02.2020, 09:31	6
Любовь (сериал, 2016 – 2018)	Love	05.02.2020, 23:03	7
К чему-то прекрасному (2010)	Till det som är vackert	03.02.2020, 22:53	6
Сияние (1980)	The Shining	02.02.2020, 20:46	8
Тайная жизнь (2019)	A Hidden Life	01.02.2020, 23:58	10
Неоконченная пьеса для механического пианино (1976)	 	28.01.2020, 22:01	7
Пешком-пешком (2008)	Aruitemo aruitemo	25.01.2020, 22:06	7
Сын в отца (2013)	Soshite chichi ni naru	25.01.2020, 17:25	8
Сладкая жизнь (1960)	La Dolce Vita	19.01.2020, 18:26	8
Мое прекрасное лето с Софи (2019)	Une fille facile	17.01.2020, 23:30	5
Простой карандаш (2019)	 	16.01.2020, 23:45	6
Новый Свет (2005)	The New World	13.01.2020, 23:15	8
Между нами музыка (2015)	Song to Song	13.01.2020, 21:55	9
Тонкая красная линия (1998)	The Thin Red Line	13.01.2020, 21:55	9
Дело Ричарда Джуэлла (2019)	Richard Jewell	12.01.2020, 22:54	7
Арахисовый сокол (2019)	The Peanut Butter Falcon	09.01.2020, 05:57	8
Молода и прекрасна (2013)	Jeune & jolie	08.01.2020, 19:34	7
Кролик Джоджо (2019)	Jojo Rabbit	08.01.2020, 11:22	8
Мандалорец (сериал, 2019 – ...)	The Mandalorian	06.01.2020, 16:54	8
Лев Яшин. Вратарь моей мечты (2019)	 	05.01.2020, 22:09	6
Мы (2019)	Us	04.01.2020, 22:51	7
Клео от 5 до 7 (1962)	Cléo de 5 à 7	04.01.2020, 00:01	8
Zомбилэнд: Контрольный выстрел (2019)	Zombieland: Double Tap	03.01.2020, 16:15	7
Взрослые игры (2017)	Flower	02.01.2020, 09:30	7
Бэйб был только один (1992)	The Babe	01.01.2020, 22:26	7
Картина красоты (2017)	Picture of Beauty	01.01.2020, 18:08	3
Верность (2019)	 	01.01.2020, 12:25	7
Маяк (2019)	The Lighthouse	29.12.2019, 23:44	7
Домой на Рождество (сериал, 2019)	Home for Christmas	27.12.2019, 00:54	7
Леди Бёрд (2017)	Lady Bird	21.12.2019, 19:19	8
Звёздные войны: Скайуокер. Восход (2019)	Star Wars: Episode IX - The Rise of Skywalker	19.12.2019, 23:46	8
Звёздные войны: Эпизод 1 – Скрытая угроза (1999)	Star Wars: Episode I - The Phantom Menace	19.12.2019, 23:41	7
Звёздные войны: Эпизод 2 – Атака клонов (2002)	Star Wars: Episode II - Attack of the Clones	19.12.2019, 23:41	7
Звёздные войны: Последние джедаи (2017)	Star Wars: Episode VIII - The Last Jedi	19.12.2019, 23:41	7
Звёздные войны: Пробуждение силы (2015)	Star Wars: Episode VII - The Force Awakens	19.12.2019, 23:41	8
Портрет девушки в огне (2019)	Portrait de la jeune fille en feu	16.12.2019, 23:36	6
Человек в высоком замке (сериал, 2015 – 2019)	The Man in the High Castle	15.12.2019, 21:45	8
Удовольствие (2013)	Pleasure	15.12.2019, 16:17	5
История о супружестве (2019)	Marriage Story	14.12.2019, 00:15	8
Yesterday (2019)	Yesterday	09.12.2019, 23:49	8
Оленья кожа (2019)	Le daim	09.12.2019, 23:48	7
Вивариум (2019)	Vivarium	02.12.2019, 07:24	7
Небо над Берлином (1987)	Der Himmel über Berlin	01.12.2019, 23:50	8
Сексуальная (2015)	Eroticism	28.11.2019, 08:15	8
Матиас и Максим (2019)	Matthias et Maxime	27.11.2019, 23:09	7
Мой друг Иван Лапшин (1984)	 	16.11.2019, 11:52	8
Эш против Зловещих мертвецов (сериал, 2015 – 2018)	Ash vs Evil Dead	16.11.2019, 01:11	7
Поймать вора (1954)	To Catch a Thief	03.11.2019, 01:51	7
Нож в сердце (2018)	Un couteau dans le coeur	26.10.2019, 20:51	4
Матч поинт (2005)	Match Point	25.10.2019, 22:38	8
Осенняя соната (1978)	Höstsonaten	21.10.2019, 20:08	8
Мысленный волк (2019)	 	17.10.2019, 13:27	7
Дождливый день в Нью-Йорке (2019)	A Rainy Day in New York	16.10.2019, 16:55	7
Маленькое красное платье (2018)	In Fabric	14.10.2019, 22:54	5
Матрица (1999)	The Matrix	14.10.2019, 21:50	8
Калина красная (1973)	 	14.10.2019, 21:49	8
Двадцать дней без войны (1976)	 	10.10.2019, 22:09	7
Эйфория (сериал, 2019)	Euphoria	07.10.2019, 20:46	7
Ты — воплощение порока (сериал, 2014 – 2019)	You're the Worst	06.10.2019, 00:06	6
Наблюдатель (1987)	 	05.10.2019, 16:59	6
Джокер (2019)	Joker	05.10.2019, 00:39	8
Doom: Аннигиляция (2019)	Doom: Annihilation	29.09.2019, 20:06	2
Класс, в котором был поросёнок (2008)	Buta ga ita kyôshitsu	28.09.2019, 16:07	6
Бакурау (2019)	Bacurau	22.09.2019, 13:10	6
Чудо (2011)	Kiseki	14.09.2019, 21:42	7
Мертвые не умирают (2019)	The Dead Don't Die	11.09.2019, 22:23	7
Сексуальные хроники французской семьи (2012)	Chroniques sexuelles d'une famille d'aujourd'hui	11.09.2019, 09:52	5
Оно 2 (2019)	It Chapter Two	06.09.2019, 23:26	8
Дни жатвы (1978)	Days of Heaven	30.08.2019, 22:36	8
К чуду (2012)	To the Wonder	24.08.2019, 00:54	8
Мобильный воин Гандам: Нарратив (2018)	Mobile Suit Gundam NT	21.08.2019, 08:17	6
Древо жизни (2010)	The Tree of Life	17.08.2019, 01:18	8
Однажды в… Голливуде (2019)	Once Upon a Time... in Hollywood	10.08.2019, 15:43	8
Шерлок Холмс (2009)	Sherlock Holmes	07.08.2019, 07:01	7
Пирсинг (2018)	Piercing	31.07.2019, 22:04	7
Покемон. Детектив Пикачу (2019)	Pokémon: Detective Pikachu	27.07.2019, 23:51	7
Пустоши (1973)	Badlands	25.07.2019, 22:51	7
Рыцарь кубков (2014)	Knight of Cups	21.07.2019, 22:41	8
Паразиты (2019)	Gisaengchung	21.07.2019, 00:00	9
4 (2004)	 	19.07.2019, 16:36	4
Солнцестояние (2019)	Midsommar	18.07.2019, 22:46	8
